DESCRICAO PRODUTO;CX PLT
BRAHMA DUPLO MALTE TOSTADA LT SLEEK 350ML SH C 12;280
BRAHMA DUPLO MALTE TRIGO LT SLEEK 350ML SH C 12;280
BUBBALOO MORANGO DISPLAY 5G CX/60;1792
BUBBALOO TUTTI FRUTTI DISPLAY 5G CX/60;1792
BUBBALOO UVA DISPLAY 5G CX/60;1792
BUDWEISER 600ML;84
BUDWEISER GFA VD 300ML CX C/23;90
BUDWEISER GFA VD 990ML CX C/12;50
BUDWEISER LATA 473ML SIX-PACK SH C/2 NPAL;220
BUDWEISER LT SLEEK 350ML CX CART C 12;280
BUDWEISER OW 330ML CX C/24;84
BUDWEISER ZERO LONG NECK 330ML SIX-PACK SHRINK C/4;84
BUDWEISER ZERO LT SLEEK 350ML C 8 CX CARTAO;400
CACHACA 51 PIRASS OURO DESCARTAVEL GFA DE VDRO 965ML;720
CACHACA 51 PIRASSUNUNGA GFA VD 965ML RET CX/12;50
CACHACA 51 PIRASSUNUNGA OURO GFA VD 965ML RET CX/12;50
CACHACA 51 PIRASSUNUNGA OURO GFA VDR 965ML RETORNAVEL;50
CANINHA PIRASSUNUNGA 51 GARRAFA VIDRO 1L;720
CARACU LATA 350ML SH C/12 NPAL;286
CERVEGELA PLASTICA BRAHMA 1 UN P/ GFA 1L CX C/3;216
CERVEGELA PLASTICA BRAHMA 1 UN P/ GFA 600ML CX C/3;216
CHIVAS REGAL 12 ANOS GARRAFA VIDRO 1 L;384
CHOCOLEITE BEBIDA LACTEA GFA PET 260 ML CX C/24;96
CHOPP BRAHMA CLARO BARRIL KEG 30L;960
CHOPP BRAHMA CLARO BARRIL KEG 50L;1200
CHOPP PATAGONIA AMBER LAGER BARRIL KEG 30L NPAL;360
CHOPP PATAGONIA WEISSE BARRIL KEG 30L NPAL;360
CIROC VODKA GFA VD 750 ML;720
COLORADO APPIA LT SLEEK 350ML C8 CX CARTAO NPAL;400
COLORADO APPIA ONE WAY 600ML CX C-12 ARTE;84
COLORADO INDICA ONE WAY 600ML CX C-12 ARTE;84
COLORADO LAGER LT SLEEK 350ML C 8 CX CARTAO;400
COLORADO LAGER ONE WAY 600ML CX C-12 ARTE;84
CORONA CERO SUNBREW N LONG NECK 330 ML SP BASKET CX C4;84
CORONA EXTRA N LONG NECK 330ML CX C/24 NPAL;84
CORONA EXTRA N LT SLEEK 350ML C 8 CX CARTAO;400
CORONITA EXTRA N OW 210ML CX C/4 SIX PACK;104
CROKISSIMO AMEND CROC LEV SALGADO PCT 24G FD/36;60
EXTRA SERRAMALTE 600ML;84
FUSION LT 473ML SH C/12 NPAL;220
FUSION PET 1L SH C/06;150
FUSION PET 2L SHRINK C/6;100
GARRAFEIRA PL. AL. LAT. AB. PRETA BEES 1 UN P/ 23 GFA 300ML;110
GARRAFEIRA PL. AZUL BEES 1 UN P/ 23 GFA 300ML;90
GARRAFEIRA PL. PRETO BEES 1 UN P/12 GFA 1L;0
GATORADE BERRY BLUE PET 500ML SIXPACK;294
GATORADE FRUTAS CITRICAS PET 500ML SIXPACK;294
GATORADE LARANJA PET 500ML SIXPACK;294
GATORADE LIMAO PET 500ML SIXPACK;294
GATORADE MARACUJA PET 500ML SIXPACK;294
GATORADE MELANCIA-MORANGO PET 500ML SIXPACK;294
GATORADE MORANGO-MARACUJA PET 500ML SIXPACK;294
GATORADE TANGERINA PET 500ML SIXPACK;294
GATORADE UVA PET 500ML SIXPACK;294
GATORADE ZERO CAL FRUTAS SILV PET 350ML SH C12;224
GATORADE ZERO CAL LAR LIMA PET 350ML SH C12;224
GORDONS GIN DRY GFA VD 750 ML;64
GUARANA ANTARCTICA ZERO PET 200ML SH C/12;400
GUARANA CHP ANTARCTICA 290ML;120
GUARANA CHP ANTARCTICA DIET LATA 350ML SH C/12 NPAL;286
GUARANA CHP ANTARCTICA DIET PET 2L CAIXA C/6;100
GUARANA CHP ANTARCTICA DIET PET 600ML CX12 NPAL;144
GUARANA CHP ANTARCTICA GFA VD 1L;50
GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL;286
GUARANA CHP ANTARCTICA PET 1,5 SHRINK C/6;115
GUARANA CHP ANTARCTICA PET 1L CAIXA C/6 NOVA RIO;175
GUARANA CHP ANTARCTICA PET 1L PACK C/2 MULTPACK NENO;525
GUARANA CHP ANTARCTICA PET 2,25L SH C/6 250ML GRATIS;64
GUARANA CHP ANTARCTICA PET 2,5L CAIXA C/6;64
GUARANA CHP ANTARCTICA PET 200ML SH C/12;400
GUARANA CHP ANTARCTICA PET 2L CAIXA C/6;100
GUARANA CHP ANTARCTICA PET 3L C/04 SHRINK LISO;80
GUARANA CHP ANTARCTICA PET 600ML CX12 NPAL;144
H2OH LIMAO C/GAS PET 1,5L CAIXA C/6;115
H2OH LIMAO C/GAS PET 500ML CAIXA C/12;168
H2OH LIMONETO PET 1,5 SHRINK C/06 NPAL;115
H2OH LIMONETO PET 500ML SHRINK C/12 NPAL;168
HALLS CEREJA ENVELOPE 28G CX C/21;1650
HALLS EXTRA FORTE ENVELOPE 28G CX C/21;1650
HALLS MENTA ENVELOPE 28G CX C/21;1650
HALLS MENTOL ENVELOPE 28G CX C/21;1650
HALLS MORANGO ENVELOPE 28G CX C/21;1650
HOEGAARDEN WHITE ONE WAY 330ML CX C/24;84
JOHNNIE WALKER RED LABEL GARRAFA VIDRO 1 L;576
JOHNNIE WALKER WHISKY BLONDE GFA VD 750 ML;576
MALZBIER BRAHMA LATA 350ML SH C/12 NPAL;286
MALZBIER BRAHMA LONG NECK 355ML SIX-PACK BANDEJA C/4;84
MENDORATO PCT 27G CX C/60;1650
MICHELOB ULTRA N LONG NECK 330ML SIX-PACK SHRINK C/4;84
MIKES GUARANA N LONG NECK 275ML SIX PACK SH C/4;91
MIKES HARD LEMONADE N LONG NECK 275ML SIX PACK SH C/4;91
MIKES HARD LEMONADE N LT 269ML SH C12 NP;196
MIKES HARD LEMONADE PITAIA N LONG NECK 275ML SIX PACK SH C/4;91
MIKES HARD LEMONADE PITAIA N LT 269ML SH C12 NP;196
MINI OREO PCT 35G CX C/10;520
MONTILLA CARTA BRANCA GARRAFA VIDRO 1 L;576
NATASHA GARRAFA VIDRO 900ML;672
NATU NOBILIS APERITIVO GARRAFA VIDRO 1 L;540
NOVECENTO VINHO ARG CABERNET SAUVIGNON GFA OW 750ML CX C/6;150
NOVECENTO VINHO ARG MALBEC GFA OW 750ML CX C/6;150
OLD PARR WHISKY GFA VDR 1L;40
ORIGINAL 600ML;84
ORIGINAL GFA VD 1L;50
ORIGINAL GFA VD 300ML CX C/23;90
ORIGINAL LATA 350ML CX CARTAO C/12 NPAL;286
ORIGINAL LT 473ML CX CARTAO C/12;220
ORIGINAL ONE WAY 600ML CX 12;75
ORLOFF GARRAFA VIDRO 1 L;576
PACOQUITA QUADRADA PCT PL 18G DSP C/24;50
PACOQUITA ROLHA EMBALADA POTE PLAST 750G CX C 6;49
PACOQUITA ZERO QUADRADA PCT PL 18G DSP C/8;108
PASSPORT SELECTION GARRAFA VIDRO 1 L;576
PATAGONIA AMB LAG NACIONAL 600ML;84
PATAGONIA AMB LAG NACIONAL LATA 473ML 6PACK CARTAO;420
PATAGONIA AMB LAG NACIONAL LN 355ML CX C/12;132
PATAGONIA AMB LAG NACIONAL ONE WAY 740ML CX6;140
PATAGONIA BOH PILS NACIONAL LATA 473ML 6PACK CARTAO;420
PATAGONIA BOH PILS NACIONAL LN 355ML CX C/12;132
PATAGONIA BOH PILS NACIONAL ONE WAY 740ML CX6;140
PATAGONIA IPA 600ML;84
PATAGONIA IPA BARRIL KEG 30L NPAL;360
PATAGONIA IPA LATA 473ML 6PACK CARTAO;420
PATAGONIA IPA LN 355ML CX C/12;132
PATAGONIA IPA ONE WAY 740ML CX6;140
PATAGONIA WEISSE NACIONAL LATA 473ML 6PACK CARTAO;420
PATAGONIA WEISSE NACIONAL LN 355ML CX C/12;132
PATAGONIA WEISSE NACIONAL ONE WAY 740ML CX6;140
PEPSI BLACK PET 1,5 SHRINK C/6;115
PEPSI BLACK PET 200ML SH C/12;400
PEPSI COLA 284ML;120
PEPSI COLA GFA VD 1L;50
PEPSI COLA LATA 350ML SH C/12 NPAL;286
PEPSI COLA PET 1500 CX06;115
PEPSI COLA PET 2,25L CAIXA C/6;64
PEPSI COLA PET 2,5L CAIXA C/6;64
PEPSI COLA PET 200ML SH C/12;400
PEPSI COLA PET 2L CAIXA C/6;100
PEPSI COLA PET 3000 ML C/04 SHRINK LISO .;80
PEPSI COLA PET 600ML CX12 NPAL;144
PEPSI TWIST PET 2L SHRINK C/6;100
PEPSI ZERO LATA 350ML SH C/12 NPAL;286
PEPSI ZERO PET 2L CAIXA C/6;100
PIRACANJUBA CREME DE LEITE TETRAPAK 200G CX C/27;180
PIRACANJUBA LEITE CONDENSADO TETRAPAK 395G CX C/27;105
PIRAKIDS BEBIDA LACTEA CHOCOLATE TETRA PAK 200 ML CX C/27;180
PIRASSUNUNGA 51 GARRAFA VIDRO 965ML;840
PRESIDENTE CONHAQ GARRAFA VIDRO 900ML;720
RAJSKA ORIGINAL GARRAFA VIDRO 1 L;660
RED BULL BR LATA 250ML CX C 24 NPAL .;144
RED BULL BR LATA 250ML SIX PACK NPAL .;576
RED BULL BR LATA 355ML FOUR PACK .;624
RED BULL BR LATA 473ML CX C 12;154
RED BULL MELANCIA LATA 250ML FOUR PACK NPAL;864
RED BULL PITAYA LATA 250ML FOUR PACK NPAL;864
RED BULL SUGAR FREE BR LATA 250ML FOUR PACK NPAL .;864
RED BULL SUMMER MORANGO E PESSEGO LATA 250ML FOUR PACK NPAL;864
RED BULL TROPICAL BR LATA 250ML FOUR PACK NPAL .;864
SALTON CHAL. VINHO BRANCO SECO GFA VD 750 ML;900
SALTON CHAL. VINHO TINTO SUAVE GFA VD 750 ML;900
SERRAMALTE LATA 350ML SIX-PACK SH C/2 NPAL;286
SKOL 600ML;84
SKOL BEATS CAIPIRINHA LONG NECK 269ML SIX-PACK SH C/4;91
SKOL BEATS CAIPIRINHA LT 269ML CX CARTAO C/8 NPAL;520
SKOL BEATS GT LONG NECK 269ML SIX-PACK SH C/4;91
SKOL BEATS GT LT 269ML CX CARTAO C/8 NPAL;520
SKOL BEATS SENSES LONG NECK 269ML SIX-PACK SH C/2;182
SKOL BEATS SENSES LONG NECK 269ML SIX-PACK SH C/4;91
SKOL BEATS SENSES LT 269ML CX C/8 FRIDGE PACK;520
SKOL GFA VD 1L 2,99;50
SKOL GFA VD 300ML CX C/23;90
SKOL LATA 350ML SH C/12 NPAL;286
SKOL LT 269ML SH C15 NPAL;299
SKOL LT 473ML SH C/12 NPAL;220
SKOL ONE WAY 300ML CX C/23;90
SKOL PURO MALTE LT SLEEK 350ML SH C 12;280
SMIRNOFF ICE GARRAFA VD 275ML CX C24;78
SMIRNOFF ICE GARRAFA VD 275ML CX C6;312
SMIRNOFF ORIGINAL GARRAFA VIDRO 998ML;660
SMIRNOFF ORIGINAL GFA VDR 600ML;816
SMIRNOFF VODKA N21 GFA PET 1,75L;55
SODA LIMONADA ANTARCTICA LATA 350ML SH C/12 NPAL;286
SODA LIMONADA ANTARCTICA PET 200ML SH C/12;400
SODA LIMONADA ANTARCTICA PET 2L CAIXA C/6;100
SODA LIMONADA ANTARCTICA PET 600ML CX12 NPAL;144
SPATEN N 600ML;84
SPATEN N LN 355ML SIXPACK SH C/4;84
SPATEN N LT 473ML CX CARTAO C/12;220
SPATEN N LT SLEEK 350ML CX CART C 12;280
SPATEN N ONE WAY 600ML CX C/12 NP ARTE;80
STELLA ARTOIS 600 ML;84
STELLA ARTOIS LONG NECK 330ML SIX-PACK SHRINK C/4;84
STELLA ARTOIS LT 473ML CX CARTAO C/12;220
STELLA ARTOIS LT SLEEK 350ML C 8 CX CARTAO;400
STELLA ARTOIS ONE WAY 600ML CX C/12 NPAL;80
STELLA ARTOIS PURE GOLD LONG NECK 330ML SP SH C/4;84
SUKITA LATA 350ML SH C/12 NPAL;286
SUKITA LIMAO PET 2L CAIXA C/6;100
SUKITA PET 200ML SH C/12;400
SUKITA PET 2L CAIXA C/6;100
SUKITA PET 600ML CX12 NPAL;144
SUKITA TUBAINA PET 2L SHRINK C/6;100
SUKITA UVA LATA 350ML SH C/12 NPAL;286
SUKITA UVA PET 2L CAIXA C/6;100
TANG REFRESCO EM PO ABACAXI PCT 18G DP C/18;1920
TANG REFRESCO EM PO LARANJA PCT 18G DP C/18;1920
TANG REFRESCO EM PO LIMAO PCT 18G DP C/18;1920
TANG REFRESCO EM PO MARACUJA PCT 18G DP C/18;1920
TANG REFRESCO EM PO MORANGO PCT 18G DP C/18;1920
TANG REFRESCO EM PO UVA PCT 18G DP C/18;1920
TANQUERAY GIN LONDON DRY GARRAFA VIDRO 750ML;180
TONICA ANTARCTICA 290ML;120
TONICA ANTARCTICA 3 LIMOES LT 269ML SH C/15;299
TONICA ANTARCTICA DIET LATA 350ML SH C/12 NPAL;286
TONICA ANTARCTICA LATA 350ML SH C/12 NPAL;286
TONICA ANTARCTICA PET 1 L SH C/06;150
TONICA ANTARCTICA ZERO PET 1L SH C/06;150
TRIDENT HORTELA ENVELOPE 8G CX C/21;3520
TRIDENT MELANCIA ENVELOPE 8G CX C/21;3520
TRIDENT MENTA ENVELOPE 8G CX C/21;3520
TRIDENT TUTTI-FRUTTI ENVELOPE 8G CX C/21;3520
WHITE HORSE GARRAFA VIDRO 1 L;528
